Code,Name,Color,Rarity,Weight,CMC,Type,Bucket,Archetypes,NumArchetypes,Selesnya,Orzhov,Azorius,Dimir,Simic,Izzet,Rakdos,Golgari,Gruul,Boros
RU04,Stun Blaster,U,Rare,1,2,Artifact,Other,Azorius; Simic; Izzet; Dimir,4,,,generic,generic,generic,generic,,,,
RU05,"R2-D2, Daring Savior",U,Rare,1,4,Legendary Creature,Creature,Azorius,1,,,designed,,,,,,,
RU06,Take a Seat,U,Rare,1,3,Instant,Instant/Sorcery,Azorius; Simic; Izzet; Dimir,4,,,generic,generic,generic,generic,,,,
RU07,Jedi Master's Talent,U,Rare,1,1,Enchantment,Other,Simic,1,,,,,designed,,,,,
RU08,"ARC Trooper Fives, Loyal Brother",U,Rare,1,3,Legendary Creature,Creature,Azorius,1,,,generic,,,,,,,
RU09,Puppet Ruler,UB,Rare,1,5,Creature,Creature,Dimir,1,,,,generic,,,,,,
RU10,Battle of Kashyyyk,U,Rare,1,2,Battle,Other,Azorius; Simic; Izzet; Dimir,4,,,generic,generic,generic,generic,,,,
RU11,Fives' Warning,U,Rare,1,1,Instant,Instant/Sorcery,Azorius; Simic; Izzet; Dimir,4,,,generic,generic,generic,generic,,,,
RB01,Brink of Death,B,Rare,1,2,Enchantment,Other,Orzhov; Golgari; Dimir; Rakdos,4,,generic,,generic,,,generic,generic,,
RB02,Sith Amulet,B,Rare,1,2,Artifact,Other,Orzhov; Rakdos,2,,generic,,,,,designed,,,
RB03,"Count Dooku, Separatist Leader",B,Rare,1,2,Legendary Creature,Creature,Orzhov; Dimir; Rakdos,3,,generic,,designed,,,generic,,,
RB04,The Galactic Senate,B,Rare,1,3,Enchantment,Other,Orzhov,1,,designed,,,,,,,,
RB05,Vulture Class Starfighter,B,Rare,1,3,Artifact,Other,Dimir,1,,,,designed,,,,,,
RB06,"Mother Talzin, Harnesser of Voodoo",B,Rare,1,6,Legendary Creature,Creature,Orzhov; Golgari; Dimir; Rakdos,4,,generic,,generic,,,generic,generic,,
RB07,Hateful Tutor,B,Rare,1,1,Instant,Instant/Sorcery,Rakdos,1,,,,,,,designed,,,
RB08,Sith Lord's Talent,B,Rare,1,2,Enchantment,Other,Golgari; Rakdos,2,,,,,,,designed,generic,,
RB09,Palpatine's Command,BR,Rare,1,5,Kindred Sorcery,Instant/Sorcery,Rakdos,1,,,,,,,generic,,,
RB10,Battle of Umbara,B,Rare,1,3,Battle,Other,Orzhov; Rakdos,2,,generic,,,,,generic,,,
RB11,Dark Reflection,B,Mythic Rare,1,3,Creature,Creature,Orzhov; Golgari; Dimir; Rakdos,4,,generic,,generic,,,generic,generic,,
RR01,The Sandcrawler,R,Rare,1,5,Artifact,Other,Boros,1,,,,,,,,,,designed
RR02,Assassin's Impulse,R,Rare,1,4,Kindred Enchantment,Other,Gruul,1,,,,,,,,,designed,
RR03,"Jango Fett, Clone Template",R,Rare,1,4,Legendary Creature,Creature,Gruul; Izzet,2,,,,,,secondary,,,designed,
RR04,False Friend,R,Rare,1,2,Sorcery,Instant/Sorcery,Gruul; Izzet; Rakdos; Boros,4,,,,,,generic,generic,,generic,generic
RR05,Trash Compacter,R,Rare,1,3,Enchantment,Other,Boros,1,,,,,,,,,,designed
RR06,Wrist Mounted Flamethrower,R,Rare,1,2,Artifact,Other,Boros,1,,,,,,,,,,generic
RR07,"Watto, Junkyard Tycoon",R,Rare,1,4,Legendary Planeswalker,Other,Gruul; Izzet; Rakdos; Boros,4,,,,,,generic,generic,,generic,designed
RR08,Spice Slaver's Talent,R,Rare,1,2,Enchantment,Other,Gruul,1,,,,,,,,,designed,
RR09,"Echo, Victim of Lola Sayu",UR,Rare,1,3,Legendary Creature,Creature,Izzet,1,,,,,,designed,,,,
RR10,Siege of Mandalore,RW,Rare,1,3,Battle,Other,Boros,1,,,,,,,,,,generic
RR11,Secret Account,R,Rare,1,4,Artifact,Other,Gruul,1,,,,,,,,,generic,
RG01,Profitable Carnage,G,Rare,1,5,Sorcery,Instant/Sorcery,Gruul,1,,,,,,,,,designed,
RG02,"Obi-Wan Kenobi, Jedi Master",G,Rare,1,4,Legendary Creature,Creature,Simic,1,,,,,designed,,,,,
RG03,Republic Gunship,G,Rare,1,3,Legendary Artifact,Other,Golgari; Selesnya,2,designed,,,,,,,secondary,,
RG04,"Wat Tambor, Union Foreman",G,Rare,1,3,Legendary Creature,Creature,Golgari,1,,,,,,,,designed,,
RG05,Kyber Crystal,G,Rare,1,2,Artifact,Other,Golgari,1,,,,,,,,generic,,
RG06,Jedi Sacrifice,G,Rare,1,2,Instant,Instant/Sorcery,Simic,1,,,,,designed,,,,,
RG07,Droidmaker's Talent,G,Rare,1,1,Enchantment,Other,Golgari,1,,,,,,,,designed,,
RG08,"Captain Rex, Loyal Soldier",G,Rare,1,4,Legendary Creature,Creature,Simic; Selesnya,2,designed,,,,secondary,,,,,
RG09,Saw Gerrera,RG,Rare,1,4,Legendary Creature,Creature,Gruul,1,,,,,,,,,designed,
RG10,Battle of Ringo Vinda,G,Rare,1,4,Battle,Other,Gruul; Golgari; Simic; Selesnya,4,generic,,,,generic,,,generic,generic,
RG11,Skirmish on Florrum,GUR,Rare,1,5,Battle,Other,Gruul; Simic; Izzet,3,,,,,generic,generic,,,generic,
RA01,Ancient Sith Holocron,Colorless,Rare,1,2,Artifact,Other,Rakdos,1,,,,,,,designed,,,
RA02,Security Droid Data Core,Colorless,Rare,1,3,Artifact,Other,Azorius,1,,,designed,,,,,,,
RA03,Mos Eisley Cantina,Colorless,Rare,1,2,Artifact,Other,Gruul,1,,,,,,,,,designed,
RA04,Primary Motivator,Colorless,Rare,1,1,Artifact,Other,Boros,1,,,,,,,,,,designed
RA05,Ancient Jedi Holocron,Colorless,Rare,1,2,Artifact,Other,Simic,1,,,,,designed,,,,,
RZ01,"C-3PO and R2-D2, Droid Duo",WU,Rare,1,5,Legendary Artifact Creature,Creature,Azorius,1,,,designed,,,,,,,
RZ02,Nubian Royal Starship,WB,Rare,1,5,Artifact,Other,Orzhov,1,,designed,,,,,,,,
RZ03,Invisible Hand,UB,Rare,1,7,Artifact,Other,Dimir,1,,,,designed,,,,,,
RZ04,Prototype Iteration,UR,Rare,1,2,Instant,Instant/Sorcery,Izzet,1,,,,,,designed,,,,
RZ05,Unleash Chaos,BR,Rare,1,2,Sorcery,Instant/Sorcery,Rakdos,1,,,,,,,designed,,,
RZ06,Honor Bound Duel,BG,Rare,1,3,Sorcery,Instant/Sorcery,Golgari,1,,,,,,,,designed,,
RZ07,"Cad Bane, Infamous Mercenary",RG,Rare,1,5,Legendary Creature,Creature,Gruul,1,,,,,,,,,designed,
RZ08,"Anakin Skywalker, Prodigy Mechanic",RW,Rare,1,4,Legendary Creature,Creature,Boros,1,,,,,,,,,,designed
RZ09,"Plo Koon, Guardian General",GW,Rare,1,5,Legendary Creature,Creature,Selesnya,1,designed,,,,,,,,,
RZ10,Mastery of the Force,GU,Rare,1,7,Legendary Enchantment,Other,Simic,1,,,,,designed,,,,,
RZ11,"General Grievous, Droid General",BGU,Rare,1,6,Legendary Artifact Creature,Creature,Golgari,1,,,,,,,,generic,,
RZ12,"Ahsoka Tano, Grey Jedi",GWU,Rare,1,4,Legendary Creature,Creature,Simic; Selesnya,2,designed,,,,secondary,,,,,
RZ13,Sith Teachings,BRG,Rare,1,4,Enchantment,Other,Golgari; Rakdos,2,,,,,,,generic,generic,,
RZ14,"Count Dooku, Political Mastermind",WUB,Rare,1,4,Legendary Creature,Creature,Orzhov; Dimir,2,,secondary,,designed,,,,,,
RZ15,"Mace Windu, Council Champion",BGU,Rare,1,6,Legendary Creature,Creature,Simic; Rakdos,2,,,,,designed,,secondary,,,
RZ16,Revival,BRG,Rare,1,5,Enchantment,Other,Golgari; Rakdos,2,,,,,,,designed,secondary,,
RZ17,Rebellion on Onderon,RGW,Rare,1,5,Enchantment,Other,Gruul; Selesnya,2,designed,,,,,,,,generic,
RZ18,The Wrong Jedi,GWU,Rare,1,4,Enchantment,Other,Simic,1,,,,,designed,,,,,
RZ19,The Clone Who Knew Too Much,WUB,Rare,1,4,Enchantment,Other,Azorius; Dimir,2,,,generic,designed,,,,,,
RZ20,Duel in the Senate,WB,Rare,1,5,Battle,Other,Orzhov,1,,designed,,,,,,,,
RZ21,Duel on Kamino,UR,Rare,1,3,Battle,Other,Izzet,1,,,,,,designed,,,,
RZ22,Throne Room Massacre,BR,Rare,1,3,Battle,Other,Rakdos,1,,,,,,,designed,,,
RZ23,Duel on Mustafar,BG,Rare,1,4,Battle,Other,Golgari,1,,,,,,,,designed,,
RZ24,Duel on Utapau,GU,Rare,1,2,Battle,Other,Simic,1,,,,,designed,,,,,
RZ25,"Commander Fox, Coruscant Guard",UR,Rare,1,4,Legendary Creature,Creature,Izzet,1,,,,,,designed,,,,
RZ26,"Admiral Tarkin, Prosecutor",WB,Rare,1,4,Legendary Creature,Creature,Orzhov,1,,designed,,,,,,,,
MW01,"Padmé Amidala, Senator of Naboo",W,Mythic Rare,1,5,Legendary Planeswalker,Other,Orzhov; Azorius; Selesnya; Boros,4,secondary,secondary,designed,,,,,,,secondary
MW02,"Qui-Gon Jinn, Force Ghost",W,Mythic Rare,1,4,Legendary Enchantment Creature,Creature,Orzhov; Boros,2,,generic,,,,,,,,designed
MW03,Grand Army Mobilization,W,Mythic Rare,1,6,Enchantment,Other,Azorius; Selesnya,2,designed,,generic,,,,,,,
MW04,Good Soldiers Follow Orders,W,Mythic Rare,1,3,Enchantment,Other,Azorius; Selesnya,2,generic,,generic,,,,,,,
MU01,Astromech Interface Socket,U,Mythic Rare,1,5,Legendary Enhancement Artifact,Other,Azorius; Dimir,2,,,designed,generic,,,,,,
MU02,Thunderous Applause,U,Mythic Rare,1,5,Sorcery,Instant/Sorcery,Azorius; Simic; Izzet; Dimir,4,,,generic,designed,generic,generic,,,,
MU03,"Yoda, Future Seer",U,Mythic Rare,1,5,Legendary Creature,Creature,Simic,1,,,,,designed,,,,,
MU04,"Obi-Wan, The Negotiator",U,Mythic Rare,1,6,Legendary Planeswalker,Other,Azorius; Simic; Izzet; Dimir,4,,,generic,generic,designed,generic,,,,
MB01,"Darth Sidious, Lord of the Sith",B,Mythic Rare,1,7,Legendary Planeswalker,Other,Orzhov; Rakdos,2,,generic,,,,,designed,,,
MB02,Trade Federation Battleship,B,Mythic Rare,1,7,Artifact,Other,Orzhov; Golgari; Dimir,3,,generic,,designed,,,,secondary,,
MB03,Jedi Blindness,UBR,Mythic Rare,1,4,Enchantment,Other,Izzet; Dimir; Rakdos,3,,,,secondary,,generic,designed,,,
MB04,Tragedy of Darth Plagueis,B,Mythic Rare,1,5,Enchantment,Other,Golgari; Rakdos,2,,,,,,,designed,generic,,
MR01,"Darth Vader, Twisted By Fear",R,Mythic Rare,1,6,Legendary Creature,Creature,Rakdos,1,,,,,,,designed,,,
MR02,The Boonta Eve Classic,R,Mythic Rare,1,5,Enchantment,Other,Boros,1,,,,,,,,,,designed
MR03,"Hondo Ohnaka, Pirate King",R,Mythic Rare,1,4,Legendary Planeswalker,Other,Gruul,1,,,,,,,,,designed,
MR04,Slave I,R,Mythic Rare,1,4,Artifact,Other,Gruul; Boros,2,,,,,,,,,generic,generic
MG01,"Anakin Skywalker, Chosen One",G,Mythic Rare,1,6,Legendary Planeswalker,Other,Golgari; Simic,2,,,,,designed,,,secondary,,
MG02,"Poggle, Archduke of Geonosis",G,Mythic Rare,1,4,Legendary Creature,Creature,Golgari,1,,,,,,,,designed,,
MG03,Jedi Lightsaber,GU,Mythic Rare,1,5,Artifact,Other,Simic,1,,,,,designed,,,,,
MG04,Republic Venator Class Cruiser,GW,Mythic Rare,1,7,Legendary Artifact,Other,Selesnya; Boros,2,designed,,,,,,,,,secondary
MA01,"General Grievous, Ruthless Warlord",Colorless,Mythic Rare,1,3,Legendary Planeswalker,Other,Azorius; Golgari,2,,,designed,,,,,secondary,,
MA02,Starship License,Colorless,Mythic Rare,1,4,Artifact,Other,Boros,1,,,,,,,,,,generic
MA03,Battle of Lola Sayu,Colorless,Mythic Rare,1,2,Battle,Other,Boros,1,,,,,,,,,,generic
MA04,Droid Reprogramming,Colorless,Mythic Rare,1,4,Artifact,Other,Azorius,1,,,generic,,,,,,,
MZ01,"R2-D2, Astromech Companion",WU,Mythic Rare,1,4,Legendary Artifact Creature,Creature,Azorius,1,,,designed,,,,,,,
MZ02,"Palpatine, Supreme Chancellor",WB,Mythic Rare,1,5,Legendary Creature,Creature,Orzhov,1,,designed,,,,,,,,
MZ03,"Admiral Trench, Cunning General",UB,Mythic Rare,1,6,Legendary Creature,Creature,Dimir,1,,,,designed,,,,,,
MZ04,"Lama Su, Prime Minister",UR,Mythic Rare,1,6,Legendary Creature,Creature,Izzet,1,,,,,,designed,,,,
MZ06,"Darth Tyranus, Patient Orchestrator",RWB,Mythic Rare,1,6,Legendary Creature,Creature,Orzhov; Rakdos,2,,generic,,,,,designed,,,
MZ05,"Darth Maul, Shadow Lord",BRG,Mythic Rare,1,6,Legendary Creature,Creature,Gruul; Golgari; Rakdos,3,,,,,,,secondary,designed,secondary,
MZ07,"Jango Fett, Master Bounty Hunter",RG,Mythic Rare,1,6,Legendary Creature,Creature,Gruul,1,,,,,,,,,designed,
MZ08,"Sebulba, Vicious Pilot",RW,Mythic Rare,1,5,Legendary Creature,Creature,Boros,1,,,,,,,,,,designed
MZ09,Commander Rex and Ahsoka,GW,Mythic Rare,1,6,Legendary Creature,Creature,Selesnya,1,designed,,,,,,,,,
MZ10,"Yoda, Part of the Living Force",GU,Mythic Rare,1,4,Legendary Enchantment Creature,Creature,Simic,1,,,,,designed,,,,,
MZ11,First Battle of Geonosis,WUBRG,Mythic Rare,1,5,Legendary Battle,Other,Gruul; Orzhov; Azorius; Golgari; Simic; Izzet; Selesnya; Dimir; Rakdos; Boros,10,generic,generic,generic,generic,generic,generic,generic,generic,generic,generic
MZ12,Fall of the Chosen One,UBR,Mythic Rare,1,6,Enchantment,Other,Izzet; Dimir; Rakdos,3,,,,generic,,generic,generic,,,
MZ13,"Asajj Ventress, Unlikely Ally",BGU,Mythic Rare,1,5,Legendary Creature,Creature,Golgari; Simic; Dimir,3,,,,generic,generic,,,generic,,
MZ14,Order 66,WB,Mythic Rare,1,7,Sorcery,Instant/Sorcery,Orzhov; Selesnya; Rakdos,3,secondary,secondary,,,,,designed,,,
6,Abafar - Droid Marketplace,WU,Mythic Rare,1,0,Land,Land,Azorius,1,,,designed,,,,,,,
L_WB1,Coruscant - Stratified Metropolis,WB,Mythic Rare,1,0,Land,Land,Orzhov,1,,designed,,,,,,,,
1,Mandalore - Warrior's Haven,UB,Mythic Rare,1,0,Land,Land,Dimir,1,,,,designed,,,,,,
3,Kamino - Planet of Storms,UR,Mythic Rare,1,0,Land,Land,Izzet,1,,,,,,designed,,,,
7,Mustafar - Bred For Evil,BR,Mythic Rare,1,0,Land,Land,Rakdos,1,,,,,,,designed,,,
4,Geonosis - Hive of War,BG,Mythic Rare,1,0,Land,Land,Golgari,1,,,,,,,,designed,,
8,Florrum - Outer Rim Paradise,RG,Mythic Rare,1,0,Land,Land,Gruul,1,,,,,,,,,designed,
5,Tatooine - Twin-Sunned Arena,RW,Mythic Rare,1,0,Land,Land,Boros,1,,,,,,,,,,designed
9,Naboo - Idllyic World,GW,Mythic Rare,1,0,Land,Land,Selesnya,1,designed,,,,,,,,,
10,Mortis - Balance Point,GU,Mythic Rare,1,0,Land,Land,Simic,1,,,,,designed,,,,,
